signal_date,ticker,foreign_5d,inst_5d,score,contraction_ratio,entry_price,status,exit_price,exit_date,return_pct,hold_days
2026-02-06,009810,55357,-76,75.2,0.0,261.0,CLOSED,1350.0,2026-02-11,417.24,5
2026-02-06,009900,76361,5915,72.5,0.71,9140.0,CLOSED,9400.0,2026-02-11,2.84,5
2026-02-06,010620,189955,-112800,68.3,0.0,223000.0,CLOSED,223000.0,2026-02-11,0.0,5
2026-02-06,010950,78953,-16778,79.4,0.76,98000.0,CLOSED,100600.0,2026-02-11,2.65,5
2026-02-06,011500,149931,4370,75.5,0.54,24550.0,CLOSED,25550.0,2026-02-11,4.07,5
2026-02-06,012280,57959,19271,71.5,0.458,952.0,CLOSED,971.0,2026-02-11,2.0,5
2026-02-06,012690,123391,203,75.3,0.449,2200.0,CLOSED,2215.0,2026-02-11,0.68,5
2026-02-06,013520,68202,-979,73.5,0.57,2500.0,CLOSED,2550.0,2026-02-11,2.0,5
2026-02-06,017040,168967,254,73.1,0.313,1445.0,CLOSED,1437.0,2026-02-11,-0.55,5
2026-02-06,024850,266473,-758331,77.7,0.79,2970.0,CLOSED,3180.0,2026-02-11,7.07,5
2026-02-06,026890,95525,-4674,67.5,0.713,11100.0,CLOSED,12040.0,2026-02-11,8.47,5
2026-02-06,036460,659822,-108530,72.6,0.662,40750.0,CLOSED,42750.0,2026-02-11,4.91,5
2026-02-06,038540,54255,66465,68.3,0.503,1892.0,CLOSED,1927.0,2026-02-11,1.85,5
2026-02-06,043370,102973,21807,64.5,0.195,12020.0,CLOSED,12380.0,2026-02-11,3.0,5
2026-02-06,047050,329691,586636,87.63000000000001,0.575,64000.0,CLOSED,64000.0,2026-02-11,0.0,5
2026-02-06,047310,60879,-8728,74.9,0.351,5980.0,CLOSED,6010.0,2026-02-11,0.5,5
2026-02-06,048470,154182,0,65.3,0.722,3460.0,CLOSED,3515.0,2026-02-11,1.59,5
2026-02-06,053690,92269,9516,66.9,0.651,19200.0,CLOSED,20150.0,2026-02-11,4.95,5
2026-02-06,054210,269106,828,77.7,0.658,10320.0,CLOSED,10760.0,2026-02-11,4.26,5
